,From,To
23447,2399,8909
23449,8049,9663
23450,2938,5354
23469,7861,5073
23470,6537,9416
23471,5527,2100
23499,9696,6981
23501,9547,6890
23507,9196,1113
23515,7332,4162
23516,7332,5067
23524,4589,3579
23557,6870,4338
23570,1319,1774
23571,1319,7705
23574,876,8694
23580,609,7876
23585,7973,6108
23596,6389,1876
23597,6389,8964
23601,1619,7093
23604,1948,4193
23609,6682,1948
23610,6682,2816
23611,6682,3181
23615,218,5081
23618,2862,6485
23629,9554,2653
23643,6483,2779
23654,7698,1571
23669,8134,2277
23671,8240,3637
23680,8501,8240
23693,7828,4460
23694,7828,7151
23717,7724,3600
23723,4121,5019
23737,5718,2354
23743,4332,301
23756,4971,1295
23757,4971,5195
23784,3454,4003
23804,8398,6630
23808,4288,4031
23816,8214,5398
23837,8442,8839
23841,6506,5589
23844,9237,4394
23845,6068,508
23847,2565,7847
23882,3473,6357
23883,4157,3592
23890,8277,69
23897,656,6394
23902,8545,3757
23913,8219,2730
23918,4038,5809
23952,7863,3927
23960,5992,6585
23977,9290,1836
23978,1988,2655
23979,1988,5742
23990,104,6182
23992,104,8943
24004,9421,3889
24009,3573,1090
24010,3573,1775
24015,9632,3573
24016,9632,7990
24020,1499,101
24021,1499,1497
24022,1499,6314
24023,1499,6559
24039,9821,3121
24046,6374,693
24052,8605,2134
24065,5782,6453
24069,2493,4407
24072,128,872
24073,128,2731
24074,128,3251
24076,6201,7591
24131,6996,3494
24152,4731,6495
24154,1742,2517
24156,7595,3308
24160,6685,6495
24162,6685,9736
24166,7507,887
24167,7507,1967
24168,7507,7983
24239,3874,6365
24240,5829,5844
24242,5043,8412
24243,1951,5809
24297,934,5328
24298,934,6903
24299,934,8243
24301,6868,4380
24323,738,7813
24332,8459,8840
24333,1643,6404
24334,7050,2527
24336,7050,9326
24342,7020,2264
24343,7020,2403
24347,6544,6503
24348,8403,6783
24370,7735,2704
24371,7735,7847
24373,1732,1836
24374,1732,6162
24389,7830,9333
24395,9193,7736
24414,5263,8095
24419,7333,4670
24444,7856,8308
24449,7729,3426
24450,7729,8724
24451,7729,9117
24466,4934,5507
24467,4934,5762
24468,4934,6419
24469,4934,6425
24470,9682,2324
24508,5676,8911
24509,1669,1079
24514,1990,4180
24528,6881,5806
24531,2101,3901
24555,9656,6561
24559,9138,1004
24564,8681,375
24572,9852,1532
24589,8081,3497
24616,7103,6924
24628,249,5817
24630,249,6633
24632,6047,1968
24633,6047,2757
24640,3593,6141
24646,8489,8303
24699,9054,6615
24712,250,3899
24713,1931,4397
24723,7255,943
24728,7255,4285
24729,7255,4812
24733,6441,4812
24767,1327,4902
24768,3748,3758
24769,3748,4205
24770,7045,4079
24782,9627,4751
24796,7414,3240
24803,9551,6297
24807,3704,8925
24809,821,4741
24810,5056,4752
24813,8387,7680
24832,5672,552
24850,8101,7974
24851,8720,6087
24856,6896,2044
24857,6896,5195
24858,7869,2142
24860,9235,1367
24868,5454,8013
24895,5230,2848
24934,8202,3356
24939,1360,9404
24940,3910,4047
24949,3570,3184
24952,3654,5678
24954,3654,7660
24964,3447,4552
24975,824,5938
24977,824,8517
24979,1622,320
24985,4503,6776
24986,4503,9136
25000,7825,6722
25001,7825,7267
25002,3137,3172
25017,7802,3718
25018,7802,4898
25042,1373,1372
25043,1373,1669
25045,1373,5197
25086,4324,4121
25099,9740,8061
25100,9740,8221
25102,7857,6707
25128,8533,7449
25129,1751,1351
25130,1751,4543
25132,8264,1751
25162,6982,4919
25163,6982,5625
25167,1139,504
25168,6558,7252
25169,6558,8258
25175,4192,536
25183,4192,5544
25187,9292,3935
25194,1202,8221
25198,1652,2651
25223,993,232
25224,993,5047
25225,993,6299
25226,8194,2137
25267,5363,5230
25276,2737,524
25278,2737,5251
25283,5910,3884
25296,2838,1491
25300,6547,9235
25325,7196,2234
25334,8765,4496
25335,8765,4691
25343,8388,9571
25349,7041,6632
25350,9167,2351
25352,2092,9764
25356,913,5182
25360,913,7931
25362,2015,7246
25372,8639,4200
25373,7356,278
25375,7356,2402
25377,7356,5193
25378,7356,8270
25379,7356,9694
25384,5922,4405
25385,5922,5195
25387,1675,7429
25388,9408,3549
25418,7286,2727
25445,2857,2246
25449,1412,2080
25452,1412,4881
25454,6398,1412
25455,6398,2857
25460,9177,7400
25466,9746,1038
25469,9746,3409
25481,9746,9399
25484,8845,1774
25485,8845,2476
25499,7832,6276
25506,9077,1486
25508,9077,2739
25509,9077,4409
25518,3264,6984
25524,6825,2403
25525,6825,2832
25526,6825,3264
25527,6825,9231
25540,471,4455
25544,7390,1702
25545,7390,2735
25552,2462,4466
25562,1601,214
25563,4880,2170
25564,4880,3180
25565,4880,6717
25566,4880,8183
25577,8248,228
25578,8248,3073
25579,8248,6402
25588,1743,429
25590,9205,3295
25594,6225,2078
25603,6488,8513
25612,3967,408
25615,3967,4103
25626,9463,3928
25627,9463,4804
25628,8126,544
25629,1771,544
25643,4763,3549
25679,3150,353
25680,3150,3820
25696,4177,2234
25699,8205,1731
25700,8205,1732
25704,4339,5095
25706,9110,8332
25711,4701,580
25712,4701,9759
25753,9661,3728
25754,9661,3767
25756,9661,9578
25757,9661,9582
25766,782,6735
25770,7751,9332
25821,3566,3543
25835,6194,9014
25848,376,9526
25861,1263,1134
25871,4091,2587
25888,3922,6195
25891,5388,3686
25892,5388,3922
25893,4019,2755
25894,2723,1798
25913,7995,232
25923,7330,4399
25924,7330,5170
25925,7330,7082
